layer,intervention,mean_rho,std_rho,n_cases,mean_dice_degradation,dice_degradation_per_rho,mean_tumor_volume_degradation,tumor_volume_degradation_per_rho,mean_edema_fraction_degradation,edema_fraction_degradation_per_rho,mean_boundary_complexity_degradation,boundary_complexity_degradation_per_rho,mean_false_negative_voxels_degradation,false_negative_voxels_degradation_per_rho
decoder4,mean,0.6893260197308329,0.009337951974941791,375,-0.007862660249665527,-0.011406301263277031,348.072,504.94539599116644,0.013942469339743857,0.020226233945424103,0.1926936513770587,0.27953921056440245,87.096,126.34950300296097
decoder1,mean,0.8046637889146805,0.009899666379761253,375,0.8831681764067582,1.0975617252492043,11701.106666666667,14541.609586345323,0.6238905015218923,0.7753430813177107,6.212924539013352,7.721143444758785,10606.394666666667,13181.15070267102
encoder1,mean,0.8058418227831523,0.008779551277174218,375,0.49289615935572156,0.6116537333014016,7939.493333333333,9852.421540883226,0.5239324371484487,0.6501678398112084,1.9291591381293276,2.3939675052686535,7290.032,9046.480083178443
encoder2,mean,0.8291490241554049,0.011846132970259413,375,0.2673051669676967,0.32238495032902126,9306.808,11224.529884094338,0.10519019093047187,0.12686524118824313,5.470636714044864,6.597893206974961,-79.19466666666666,-95.51318805125126
decoder2,mean,0.8387479989594884,0.009033697147833742,375,0.39296105055625524,0.46850907667588404,20982.029333333332,25015.891971560777,0.1566181026611914,0.18672843673604528,8.994782167513428,10.724057975305973,-536.696,-639.8775325435054
decoder3,mean,0.8490417491992315,0.016171560731678282,375,0.04974434149291077,0.05858880501439045,2526.0853333333334,2975.219222983788,0.046428330773201534,0.05468321294799711,0.585616905326819,0.6897386446298311,1749.096,2060.082441940752
bottleneck,mean,0.8593068371746274,0.008930961285139656,375,-0.0056489156586877025,-0.006573805088367679,290.0346666666667,337.52165596667555,0.012967411909915318,0.015090548973812127,0.1764684355387112,0.20536137722228953,4.016,4.673534325881167
encoder3,mean,0.9102398220035764,0.021585941299317447,375,0.021751888324707286,0.02389687618459503,820.8186666666667,901.7608841370177,0.033209462689347616,0.03648429994663223,0.33954480045653385,0.373027846341796,-102.192,-112.26931356953801
encoder4,mean,0.9174459728532367,0.01397989818129203,375,-0.0050588503559657536,-0.005514058054266499,291.17333333333335,317.373820310956,0.0132779172877976,0.014472696682621616,0.17660474979721785,0.1924960760882529,28.797333333333334,31.388587650316087
decoder4,noise,1.214977043774393,0.005316576543883165,375,-0.007195166931533688,-0.005922059983274669,331.1413333333333,272.54945682317134,0.013805652400732286,0.01136289156364985,0.18768348804790802,0.15447492527501502,70.35466666666666,57.90616952572702
decoder1,noise,1.2835798915492165,0.006181441631807831,375,0.8558121345810175,0.6667385023834358,269354.952,209846.6591548907,0.36762297288253126,0.28640443442817476,58.808429865508465,45.81594823406718,6510.712,5072.307569528763
encoder1,noise,1.284307255268097,0.0055231882359233556,375,0.5074365960663586,0.39510529430158214,8225.568,6404.672998816724,0.560671437428773,0.43655553227543964,2.0680263489789974,1.610227101416865,7532.176,5864.777271251708
encoder2,noise,1.2990811195108625,0.007574625410704252,375,0.2964644397866363,0.22821087562127204,11499.384,8851.936824645572,0.11750321188771018,0.09045101966531018,6.235527075317815,4.799952044307789,-169.15466666666666,-130.21101155742895
decoder2,noise,1.3052303462823232,0.005829303370151682,375,0.3254310738680186,0.24932846129033182,14032.464,10750.94832109026,0.13733458935361495,0.10521866101625964,7.253076154007938,5.556931904523071,-353.656,-270.9529402279954
decoder3,noise,1.3119972834322187,0.010510395049783829,375,0.04554692209085607,0.03471571371832734,2413.170666666667,1839.3107189625807,0.044938439796258466,0.03425193052130287,0.5618558691028179,0.42824468937388993,1654.0106666666666,1260.6814720985794
bottleneck,noise,1.3228751301500532,0.006070683271198393,375,-0.0055976857554323614,-0.004231454373775564,287.58133333333336,217.39114053849747,0.012890460615669523,0.009744276176850768,0.17627432852401892,0.13325092029209454,5.061333333333334,3.826009891620858
encoder3,noise,1.3524662558105258,0.014430577865540162,375,0.015131418055250236,0.011188018917471666,654.112,483.6438596451297,0.028180390673580514,0.020836298541653562,0.27871711890097955,0.2060806454161371,-41.269333333333336,-30.514131614027473
encoder4,noise,1.3578031238714854,0.009438455985880584,375,-0.005698084161047388,-0.004196546657515796,275.792,203.11633929198663,0.013053988925651832,0.00961405132758214,0.1644355671415546,0.12110413082030753,54.717333333333336,40.298429405080874
bottleneck,zero,1.0,0.0,375,-0.005598696842152844,-0.005598696842152844,287.28266666666667,287.28266666666667,0.012866156850158603,0.012866156850158603,0.1762472708242518,0.1762472708242518,5.144,5.144
decoder1,zero,1.0,0.0,375,0.8831681764067582,0.8831681764067582,11701.106666666667,11701.106666666667,0.6238905015218923,0.6238905015218923,6.212924539013352,6.212924539013352,10606.394666666667,10606.394666666667
decoder2,zero,1.0,0.0,375,0.4061340106730136,0.4061340106730136,22482.157333333333,22482.157333333333,0.1587826252736853,0.1587826252736853,9.43418665213693,9.43418665213693,-563.9546666666666,-563.9546666666666
decoder3,zero,1.0,0.0,375,0.04783531772659145,0.04783531772659145,2460.68,2460.68,0.04566250617596386,0.04566250617596386,0.5761297122582038,0.5761297122582038,1693.6906666666666,1693.6906666666666
decoder4,zero,1.0,0.0,375,-0.007199697825691645,-0.007199697825691645,331.6453333333333,331.6453333333333,0.01378471396117632,0.01378471396117632,0.18816526562333785,0.18816526562333785,70.28266666666667,70.28266666666667
encoder1,zero,1.0,0.0,375,0.4909302263214344,0.4909302263214344,7924.608,7924.608,0.5191909259152104,0.5191909259152104,1.8735178213470622,1.8735178213470622,7270.464,7270.464
encoder2,zero,1.0,0.0,375,0.3407530359072492,0.3407530359072492,14042.96,14042.96,0.1402366706862471,0.1402366706862471,6.966541922487166,6.966541922487166,-177.34666666666666,-177.34666666666666
encoder3,zero,1.0,0.0,375,0.018572014565328258,0.018572014565328258,758.528,758.528,0.030749225835216602,0.030749225835216602,0.2953266135040615,0.2953266135040615,18.402666666666665,18.402666666666665
encoder4,zero,1.0,0.0,375,-0.005620214948226551,-0.005620214948226551,280.01866666666666,280.01866666666666,0.013088813851203855,0.013088813851203855,0.16385769722759805,0.16385769722759805,59.797333333333334,59.797333333333334
