outer_fold,target,best_layer,train_oof_r2,model_seed
0,log_wt_volume,decoder2,0.7612469989078005,42
0,gt_edema_frac,decoder1,0.5664544396132989,42
0,gt_enhancing_frac,decoder1,0.5954850048562481,42
0,gt_necrosis_frac,decoder1,0.5005477484040196,42
0,gt_compactness,decoder2,0.43924335714994933,42
1,log_wt_volume,decoder2,0.7663673872685222,42
1,gt_edema_frac,decoder1,0.610189857483074,42
1,gt_enhancing_frac,decoder1,0.6966872241097009,42
1,gt_necrosis_frac,decoder1,0.5030012500819927,42
1,gt_compactness,decoder2,0.3507434358963515,42
2,log_wt_volume,decoder1,0.7559937722558082,42
2,gt_edema_frac,decoder1,0.6351184967547883,42
2,gt_enhancing_frac,decoder1,0.6861714498674931,42
2,gt_necrosis_frac,decoder1,0.5398120820182235,42
2,gt_compactness,decoder2,0.43034427734356717,42
3,log_wt_volume,decoder2,0.7476751340074456,42
3,gt_edema_frac,decoder2,0.5807752958146464,42
3,gt_enhancing_frac,decoder1,0.6419490227631504,42
3,gt_necrosis_frac,decoder1,0.5231999297613268,42
3,gt_compactness,decoder2,0.40129941705615835,42
4,log_wt_volume,decoder2,0.7652828170243868,42
4,gt_edema_frac,decoder1,0.5495537863975684,42
4,gt_enhancing_frac,decoder1,0.6739432370858105,42
4,gt_necrosis_frac,decoder1,0.4153623611152657,42
4,gt_compactness,decoder2,0.41661939577993046,42
