feature,n_folds_selected
absolute_gap_gt_compactness,5
absolute_gap_gt_edema_frac,5
standardized_gap_gt_necrosis_frac,5
standardized_gap_gt_enhancing_frac,5
standardized_gap_gt_edema_frac,5
standardized_gap_gt_compactness,5
signed_gap_log_wt_volume,5
signed_gap_gt_necrosis_frac,5
signed_gap_gt_enhancing_frac,5
signed_gap_gt_edema_frac,5
signed_gap_gt_compactness,5
relative_gap_log_wt_volume,5
relative_gap_gt_necrosis_frac,5
relative_gap_gt_enhancing_frac,5
relative_gap_gt_edema_frac,5
relative_gap_gt_compactness,5
absolute_gap_log_wt_volume,5
absolute_gap_gt_necrosis_frac,5
absolute_gap_gt_enhancing_frac,5
standardized_gap_log_wt_volume,5
