method,failure_def,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,auprc_ci_low,auprc_ci_high,auroc_ci_low,auroc_ci_high,strongest_baseline,baseline_auprc
combined,dice_lt_0.80,0.8484416510075812,0.7869051660301026,0.14740145176670005,0.7459016393442623,0.8379446640316206,0.6893939393939394,0.8724279835390947,0.9371223047766525,-0.06818111805532329,0.7199182332422775,0.8478414938451296,0.8003285848578313,0.8907156054648113,morphology,0.7844189146535745
dice_probe,dice_lt_0.80,0.7806648091751441,0.6963531870143095,0.2086303258555309,0.6721311475409836,0.766798418972332,0.5815602836879432,0.8290598290598291,2.3034941541075153,-0.7927354561346491,0.6153240953054249,0.7742498292566484,0.7283373296270722,0.8324906337312674,morphology,0.7844189146535745
hgb_combined,dice_lt_0.80,0.8421888161731355,0.8007761527889382,0.13692660238192383,0.7377049180327869,0.8735177865612648,0.7377049180327869,0.8735177865612648,0.9248812038087553,-0.03401497168082451,0.7341186778939777,0.8590585268016964,0.7910682973270482,0.8904006461959785,morphology,0.7844189146535745
inconsistency,dice_lt_0.80,0.7903194453443919,0.7381620728490201,0.16919321581936525,0.6475409836065574,0.8300395256916996,0.6475409836065574,0.8300395256916996,0.8597212482438453,-0.041999481133397076,0.6713535165377144,0.8035907179540532,0.7364023734488626,0.8442478171237405,morphology,0.7844189146535745
morphology,dice_lt_0.80,0.8340244929696107,0.7844189146535745,0.15978911230963172,0.7295081967213115,0.7786561264822134,0.6137931034482759,0.8565217391304348,1.0302854549497138,-0.13016712698649618,0.7190844134508712,0.8440451044593927,0.7838858387590634,0.8814683614840267,morphology,0.7844189146535745
pooled_repr,dice_lt_0.80,0.8968444242856217,0.8528848561895692,0.12195800676688245,0.8278688524590164,0.841897233201581,0.7163120567375887,0.9102564102564102,0.9722133491259263,-0.0686043760243773,0.7923330828436437,0.9021577076792587,0.8571932211926258,0.9321811240183153,morphology,0.7844189146535745
rep_anatomy,dice_lt_0.80,0.808235599041016,0.7162889732692975,0.1802579456551805,0.7377049180327869,0.7272727272727273,0.5660377358490566,0.8518518518518519,1.072996640709492,-0.1626244217073871,0.6311313837652719,0.7959542366134905,0.7589443256128827,0.8572670455466203,morphology,0.7844189146535745
combined,dice_lt_0.70,0.9034291935044905,0.7712381103199181,0.1076813278933879,0.8082191780821918,0.8741721854304636,0.6082474226804123,0.9496402877697842,0.8690126010450915,-0.08763012438047024,0.677990713781452,0.8534048917035166,0.8559938998291446,0.9439117315026697,morphology,0.7320540068560808
dice_probe,dice_lt_0.70,0.7674861652907558,0.5166147897947366,0.21002158262644147,0.6575342465753424,0.7384105960264901,0.3779527559055118,0.8991935483870968,1.6659464833049165,-0.5905557350706007,0.40549440459556424,0.6279647436225143,0.7019220926897312,0.8286122018684593,morphology,0.7320540068560808
hgb_combined,dice_lt_0.70,0.9029755964800872,0.7484549142014613,0.0894008042178033,0.726027397260274,0.9238410596026491,0.6973684210526315,0.9331103678929766,0.8427313559194655,-0.011507225938315518,0.6516440236564458,0.8372841215857469,0.858236126518084,0.9404169838475221,morphology,0.7320540068560808
inconsistency,dice_lt_0.70,0.8364782727025311,0.7048034187347739,0.12954706134714974,0.684931506849315,0.8576158940397351,0.5376344086021505,0.9184397163120568,0.8149168510776059,-0.0855321069317056,0.60696983152211,0.797807246066524,0.7752974811103674,0.8943175979747638,morphology,0.7320540068560808
morphology,dice_lt_0.70,0.8744443436451057,0.7320540068560808,0.13136497562291935,0.7945205479452054,0.8509933774834437,0.5631067961165048,0.9448529411764706,0.9054060630122136,-0.1384788797776545,0.6368410895124559,0.8221134418488759,0.8211644930426859,0.9245238033761576,morphology,0.7320540068560808
pooled_repr,dice_lt_0.70,0.9354985031298194,0.8076827418998815,0.0911981695833135,0.863013698630137,0.8675496688741722,0.6116504854368932,0.9632352941176471,0.8327901011564527,-0.04702088091419687,0.7232197185148251,0.8886457841614823,0.900252275321357,0.9642921085432913,morphology,0.7320540068560808
rep_anatomy,dice_lt_0.70,0.830536151682845,0.6193900762591433,0.16799032113948129,0.7397260273972602,0.7384105960264901,0.40601503759398494,0.9214876033057852,0.8059530857067194,-0.13260788584482863,0.5086413436726144,0.7246715829044192,0.7716318981077567,0.888096429194137,morphology,0.7320540068560808
combined,edema_lt_0.70,0.891578947368421,0.763667558295362,0.12142808365375002,0.7777777777777778,0.8666666666666667,0.6481481481481481,0.9250936329588015,0.9697501691919392,-0.11438307679510057,0.6716433927910405,0.8470155063304898,0.8449117098090135,0.9321334319721302,morphology,0.7685316540551248
dice_probe,edema_lt_0.70,0.8041325536062378,0.6546233278386198,0.2000954814578592,0.7222222222222222,0.7614035087719299,0.48872180451127817,0.8966942148760331,2.0053168907542442,-0.7047894605479701,0.5531179421639664,0.7521022486509196,0.7385789918164376,0.8617944574914718,morphology,0.7685316540551248
hgb_combined,edema_lt_0.70,0.9092397660818713,0.7249317358687405,0.10762981137376582,0.7222222222222222,0.8736842105263158,0.6435643564356436,0.9087591240875912,0.8634913919856858,-0.022735591643215092,0.6273258082001306,0.8335357569719488,0.8764915986679885,0.9384222812108431,morphology,0.7685316540551248
inconsistency,edema_lt_0.70,0.8325146198830409,0.674913114729742,0.14984338671204428,0.7222222222222222,0.8315789473684211,0.5752212389380531,0.9045801526717557,0.8551934292897416,-0.08907153608755691,0.5826779840057027,0.7627361835288393,0.7792459604719237,0.8827021430962037,morphology,0.7685316540551248
morphology,edema_lt_0.70,0.8917348927875243,0.7685316540551248,0.13024707885500666,0.8111111111111111,0.8385964912280702,0.6134453781512605,0.93359375,0.9247267667623704,-0.11951032933964417,0.6795845637077025,0.8442773873606562,0.8483141299307901,0.9302008178419097,morphology,0.7685316540551248
pooled_repr,edema_lt_0.70,0.844093567251462,0.6789616247630388,0.14860903804301753,0.7222222222222222,0.7929824561403509,0.5241935483870968,0.900398406374502,0.8171745907222081,-0.06741966624923429,0.5757747421667636,0.77576499419919,0.79570221005281,0.8897316418149751,morphology,0.7685316540551248
rep_anatomy,edema_lt_0.70,0.8001949317738791,0.5298223224825773,0.18449389369368804,0.7888888888888889,0.7333333333333333,0.48299319727891155,0.9166666666666666,0.7813110629549302,-0.09489427198076972,0.4333816238075593,0.647246916532544,0.7480356671584762,0.8499687383141088,morphology,0.7685316540551248
combined,lowest_20pct,0.8968883465527759,0.7816653968009327,0.10960087007066019,0.7662337662337663,0.8657718120805369,0.5959595959595959,0.9347826086956522,0.8659356987251364,-0.07764680173110208,0.6909090462935804,0.8602554429120991,0.8466867574491569,0.9394836930919406,morphology,0.7255770535381467
dice_probe,lowest_20pct,0.7785670705133793,0.5431043718186255,0.20809324872104057,0.6753246753246753,0.7416107382550335,0.40310077519379844,0.8983739837398373,1.7680348125933938,-0.6281280287072842,0.4306749056140423,0.6552810056861225,0.7167333135274312,0.8373505597342807,morphology,0.7255770535381467
hgb_combined,lowest_20pct,0.8948400592695894,0.785114715010614,0.08712499900487129,0.7272727272727273,0.9328859060402684,0.7368421052631579,0.9297658862876255,0.8961591605158207,-0.02123298064158735,0.6972553733578021,0.8654952647877195,0.8425284812189574,0.9379692616922771,morphology,0.7255770535381467
inconsistency,lowest_20pct,0.8400156890089778,0.721945753712495,0.12931211422292274,0.7402597402597403,0.8791946308724832,0.6129032258064516,0.9290780141843972,0.8185015942740852,-0.07712163123404528,0.6271401266958885,0.8069911814104187,0.7793965977388307,0.8977048835877436,morphology,0.7255770535381467
morphology,lowest_20pct,0.8656846509195503,0.7255770535381467,0.13687098187740337,0.7662337662337663,0.8322147651006712,0.5412844036697247,0.9323308270676691,0.8999596123111792,-0.13231061676402525,0.6287833271124357,0.810576003041191,0.8100389272591304,0.917609619476087,morphology,0.7255770535381467
pooled_repr,lowest_20pct,0.9313605857230017,0.810581429317783,0.09135915322128983,0.8441558441558441,0.87248322147651,0.6310679611650486,0.9558823529411765,0.8431342579235549,-0.039700359270342656,0.7249570741214251,0.8918259443379187,0.8952642510957196,0.9611878907721281,morphology,0.7255770535381467
rep_anatomy,lowest_20pct,0.8136930183910049,0.5402776203876828,0.17097030835859106,0.7662337662337663,0.7516778523489933,0.44360902255639095,0.9256198347107438,0.741958800943344,-0.08860710049082496,0.4358053751177481,0.6688278888187515,0.7555976915708814,0.8701773836643234,morphology,0.7255770535381467
