loss,l_seg,l_fid,l_sparse,l_dir,l_off,scale,cos,step,dev_edema_dice
0.20341649651527405,0.20321024954319,0.00010961812222376466,0.0,0.0,0.0009663653327152133,0.6931471824645996,1.0,1,
0.2992274761199951,0.2983742654323578,0.00015377425006590784,0.013685332611203194,0.0,0.005625869147479534,0.6931471824645996,1.0,2,
0.13364265859127045,0.1327957957983017,0.00010763783939182758,0.014118271879851818,0.0017718677408993244,0.004208550788462162,0.6894333958625793,0.9991983771324158,3,
0.24868443608283997,0.2468341588973999,0.00028488977113738656,0.0021733033936470747,0.0009079399751499295,0.014528659172356129,0.6856815218925476,0.9995591640472412,4,
0.07942580431699753,0.07782725989818573,0.0004698663833551109,0.0043394011445343494,0.0003319918760098517,0.010520911775529385,0.6825591325759888,0.9998554587364197,5,
0.063988097012043,0.06349092721939087,1.633155989111401e-05,0.00988517515361309,0.0007554058684036136,0.0030644279904663563,0.6804623603820801,0.9997531175613403,6,
0.16130036115646362,0.1605214774608612,3.52051283698529e-05,0.02161172404885292,0.0008571071666665375,0.004418476950377226,0.6786139607429504,0.9997167587280273,7,
0.0670151486992836,0.06609682738780975,2.1618992832372896e-05,0.025323186069726944,0.0005109035409986973,0.005923839285969734,0.6763122081756592,0.9997997283935547,8,
0.0475340262055397,0.04698524624109268,1.3381608368945308e-05,0.034109774976968765,0.00034227012656629086,0.0016007162630558014,0.6737178564071655,0.999829113483429,9,
0.09325873851776123,0.09239760786294937,1.7947551896213554e-05,0.048530109226703644,0.0005901891272515059,0.0029886430129408836,0.6710606217384338,0.9997381567955017,10,
0.06613560765981674,0.06539160013198853,3.145237496937625e-05,0.029410339891910553,0.0010691315401345491,0.003115391591563821,0.6685810685157776,0.9995664954185486,11,
0.27748972177505493,0.27666085958480835,0.00020273096743039787,0.04268383979797363,0.0009285149862989783,0.0010641539702191949,0.6663689613342285,0.999639093875885,12,
0.20730789005756378,0.20669783651828766,0.00010085730173159391,0.01999143324792385,0.0005899379029870033,0.0025029934477061033,0.6653081774711609,0.9997521638870239,13,
0.27013546228408813,0.2687041461467743,7.261315477080643e-05,0.027716655284166336,0.0003808849141933024,0.010434594005346298,0.6633995771408081,0.9998152852058411,14,
0.12207148224115372,0.1209462434053421,0.00033387402072548866,0.04205746948719025,0.00045460526598617435,0.0032532133627682924,0.6638882160186768,0.9997876286506653,15,
0.25383061170578003,0.251936137676239,0.00017074387869797647,0.017319515347480774,0.0010950937867164612,0.014410444535315037,0.665680468082428,0.9995807409286499,16,
0.07665752619504929,0.07547949254512787,0.00035835494054481387,0.016034677624702454,0.0011982130818068981,0.005395140498876572,0.6661419868469238,0.999553918838501,17,
0.0645659789443016,0.0637904554605484,2.9098207960487343e-05,0.02428469993174076,0.0010568657889962196,0.003978964406996965,0.6671324968338013,0.9995942115783691,18,
0.16221687197685242,0.16148033738136292,3.138966712867841e-05,0.03888392448425293,0.0006595351151190698,0.002503366908058524,0.6680334210395813,0.9997186064720154,19,
0.0693146288394928,0.06835776567459106,1.2050970326527022e-05,0.04197913408279419,0.00025530840503051877,0.00499494606629014,0.6681832671165466,0.9998728632926941,20,
0.04863015562295914,0.0479353666305542,9.742491783981677e-06,0.05198590084910393,0.0002734317386057228,0.0013784208567813039,0.6677137613296509,0.9999051094055176,21,
0.09422125667333603,0.09325387328863144,8.058226740104146e-06,0.07058468461036682,0.0008181115845218301,0.00171659083571285,0.6668920516967773,0.9997422099113464,22,
0.06716012954711914,0.06621920317411423,3.311438922537491e-05,0.03941434621810913,0.001832724316045642,0.0033039706759154797,0.6657282710075378,0.9993646144866943,23,
0.2772265672683716,0.27626746892929077,7.382582407444715e-05,0.056286972016096115,0.002361202845349908,0.0008627890492789447,0.6646068096160889,0.9990984797477722,24,
0.17064175009727478,0.16975648701190948,0.00017165133613161743,0.02005847357213497,0.002472264226526022,0.002658077282831073,0.6638108491897583,0.9989320635795593,25,0.7770320047021967
0.2841489911079407,0.28311920166015625,3.783305874094367e-05,0.034286413341760635,0.0019890619441866875,0.004501999355852604,0.6630221009254456,0.9990473985671997,26,
0.11633872985839844,0.11497606337070465,0.00020816172764170915,0.05519673973321915,0.001359024434350431,0.0046662683598697186,0.663469672203064,0.9993255138397217,27,
0.254230260848999,0.25218042731285095,0.00025796733098104596,0.018392927944660187,0.001151849515736103,0.014927450567483902,0.6650522947311401,0.9995797276496887,28,
0.07192906737327576,0.07118332386016846,0.00018898901180364192,0.016869330778717995,0.0014389468124136329,0.002441633027046919,0.6655682325363159,0.9996302127838135,29,
0.06485523283481598,0.064093679189682,2.1969806766719557e-05,0.026172218844294548,0.0017631950322538614,0.003015435067936778,0.6664915680885315,0.9996272921562195,30,
0.16194012761116028,0.16114158928394318,2.9788205210934393e-05,0.04034794121980667,0.0017324193613603711,0.0019203426782041788,0.6672499179840088,0.9996359348297119,31,
0.06845865398645401,0.06713544577360153,1.6887843230506405e-05,0.04503736272454262,0.0011974431108683348,0.007361961528658867,0.6673581004142761,0.999731183052063,32,
0.04885878041386604,0.048052117228507996,9.742491783981677e-06,0.05729008466005325,0.0005230688257142901,0.0017171361250802875,0.6669272184371948,0.9998574256896973,33,
0.08647680282592773,0.08514812588691711,1.7639975339989178e-05,0.07945969700813293,0.00018886949692387134,0.004975481890141964,0.6661500334739685,0.999910831451416,34,
0.06668712198734283,0.06583493947982788,3.068698788410984e-05,0.04255605861544609,0.0004463715013116598,0.0035129289608448744,0.6649265885353088,0.9998266100883484,35,
0.27160924673080444,0.27037256956100464,0.00036548360367305577,0.06052009016275406,0.0012149537215009332,0.001444928697310388,0.6637436151504517,0.9995920062065125,36,
0.20775754749774933,0.20672708749771118,0.00010559494694462046,0.025361107662320137,0.0020632585510611534,0.00464931083843112,0.6629622578620911,0.9992914795875549,37,
0.27342718839645386,0.27213534712791443,5.841513484483585e-05,0.035619430243968964,0.002751088235527277,0.006021405570209026,0.661669135093689,0.9989942908287048,38,
0.11819631606340408,0.11672581732273102,0.00011815598554676399,0.05963697284460068,0.00254340679384768,0.005016290582716465,0.6615195274353027,0.9989936947822571,39,
0.2533768117427826,0.2513231933116913,0.0003670018631964922,0.01771220564842224,0.001543396501801908,0.013551326468586922,0.6624879240989685,0.9993253946304321,40,
0.07468581944704056,0.07365376502275467,0.00023847252305131406,0.017315292730927467,0.0009995310101658106,0.005204816348850727,0.662642776966095,0.9995118975639343,41,
0.06502886116504669,0.06434431672096252,2.5286133677582256e-05,0.026565801352262497,0.0006890891236253083,0.003246890613809228,0.663212239742279,0.9996694326400757,42,
0.16219447553157806,0.16152827441692352,3.9307626138906926e-05,0.03883637115359306,0.0007537973579019308,0.001631418475881219,0.6636687517166138,0.9997185468673706,43,
0.06754504144191742,0.06622031331062317,2.321391184523236e-05,0.04499916359782219,0.000878659775480628,0.007636526133865118,0.663637638092041,0.999740481376648,44,
0.04810553416609764,0.04718276113271713,1.8580216419650242e-05,0.056601330637931824,0.0008126255706883967,0.0025691643822938204,0.6631597876548767,0.9997951984405518,45,
0.084334596991539,0.08305864781141281,1.814016832213383e-05,0.07552623003721237,0.0005896087968721986,0.004435751121491194,0.6624705195426941,0.9998634457588196,46,
0.06810075044631958,0.06745988875627518,1.827969026635401e-05,0.04156035557389259,0.00025945730158127844,0.0018104409100487828,0.6614081859588623,0.9999397993087769,47,
0.2747138440608978,0.27392855286598206,0.00010614872007863596,0.05762382969260216,0.00014897348592057824,0.0008801731746643782,0.6603874564170837,0.9999381899833679,48,
0.20706115663051605,0.206259623169899,0.00010559494694462046,0.023894648998975754,0.0002990557113662362,0.004270995035767555,0.6597581505775452,0.9998512268066406,49,
0.28471672534942627,0.28379300236701965,3.783305874094367e-05,0.03260728344321251,0.0007250791531987488,0.004873368889093399,0.6587062478065491,0.9996613264083862,50,0.7769741440000281
0.12048947066068649,0.11924346536397934,0.00033387402072548866,0.05538881570100784,0.0010042741196230054,0.002578091574832797,0.6585652232170105,0.9995413422584534,51,
0.25200238823890686,0.25028273463249207,0.0003490245435386896,0.015591006726026535,0.000799947592895478,0.0113473916426301,0.6594715714454651,0.9996297359466553,52,
0.07302303612232208,0.07213754206895828,9.83190766419284e-05,0.016696183010935783,0.0006740466924384236,0.005528098437935114,0.6596808433532715,0.999681830406189,53,
0.06482326239347458,0.06415802240371704,3.243407263653353e-05,0.02514982782304287,0.0004287513729650527,0.0033842811826616526,0.6602663397789001,0.9997897148132324,54,
0.1639719307422638,0.16329734027385712,1.563729347253684e-05,0.03782481327652931,0.00027077540289610624,0.002536382060497999,0.6608080267906189,0.999864935874939,55,
0.06883619725704193,0.06752145290374756,3.230452421121299e-05,0.04145757853984833,0.00019881807384081185,0.008479868993163109,0.6609500050544739,0.9999058246612549,56,
0.047600213438272476,0.046790961176157,1.850323133112397e-05,0.05243916064500809,0.000134760353830643,0.0025288346223533154,0.660692036151886,0.9999414682388306,57,
0.08458328992128372,0.08338028192520142,2.663254417711869e-05,0.06764671206474304,8.533389336662367e-05,0.00491374870762229,0.6602763533592224,0.9999651312828064,58,
0.067591093480587,0.06691869348287582,2.550374665588606e-05,0.0376795195043087,5.484472058014944e-05,0.002646147971972823,0.6596242785453796,0.9999741315841675,59,
0.27815693616867065,0.27732887864112854,0.00015932772657833993,0.052593644708395004,6.965843203943223e-05,0.0013584810076281428,0.6590170860290527,0.999965488910675,60,
0.22620195150375366,0.22475077211856842,0.0012049644719809294,0.01850888319313526,0.00014979482511989772,0.00046145517262630165,0.6588011384010315,0.9999271631240845,61,
0.2842763066291809,0.283406525850296,3.783305874094367e-05,0.03238645941019058,0.00016636155487503856,0.004914712160825729,0.659305214881897,0.9999176263809204,62,
0.12541668117046356,0.12192221730947495,0.002524350769817829,0.05552545189857483,0.00022378069115802646,0.003924789372831583,0.6605600118637085,0.9998889565467834,63,
0.25321105122566223,0.25124087929725647,0.0003146094095427543,0.018177000805735588,0.00037867025821469724,0.014359019696712494,0.6627241969108582,0.9998274445533752,64,
0.07091378420591354,0.07062597572803497,2.3802112991688773e-05,0.01824202388525009,0.000505381147377193,0.00031043539638631046,0.6639430522918701,0.9997742176055908,65,
0.0645512267947197,0.06386353075504303,2.552874320826959e-05,0.026951506733894348,0.0005629666848108172,0.0033635632134974003,0.665303111076355,0.9997504949569702,66,
0.16289280354976654,0.16226020455360413,2.9808439649059437e-05,0.04096325486898422,0.0005038810195401311,0.0014277903828769922,0.6664750576019287,0.9997714161872864,67,
0.06917071342468262,0.06803068518638611,4.9052934627979994e-05,0.04407951235771179,0.0003228259738534689,0.006178941112011671,0.6670763492584229,0.9998449683189392,68,
0.04797255992889404,0.04736952483654022,4.160539447184419e-06,0.056596823036670685,0.00014116203237790614,0.00018788798479363322,0.6671433448791504,0.9999306201934814,69,
0.10785415023565292,0.10662765055894852,5.24427787240711e-06,0.07033646106719971,0.00015088682994246483,0.005028048530220985,0.6668518781661987,0.9999489784240723,70,
0.06838268041610718,0.06770746409893036,1.2011435501335654e-05,0.04507960379123688,0.00047097832430154085,0.0016531612491235137,0.6662564277648926,0.9998446702957153,71,
0.27634015679359436,0.2752172648906708,0.0002275605802424252,0.06400808691978455,0.000890382390934974,0.0016618038062006235,0.6655465364456177,0.9996859431266785,72,
0.20360365509986877,0.20283450186252594,0.00019009978859685361,0.029219893738627434,0.001251638401299715,0.0016168771544471383,0.6653380990028381,0.9995067119598389,73,
0.2776695489883423,0.2767995595932007,4.2448187741683796e-05,0.038651034235954285,0.0015622434439137578,0.0028480796609073877,0.6646465063095093,0.9993249177932739,74,
0.11969195306301117,0.11828985810279846,0.00010763783939182758,0.06270451843738556,0.0014595475513488054,0.00521452073007822,0.6649674773216248,0.9993093013763428,75,0.7757345182327567
