method,failure_def,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,capture_at_10,capture_at_20,capture_at_30
confidence,lowest20_mean_fg,0.11477444909262755,0.888760139845289,0.8759377573298646,0.8582724668606405,0.8320776992379114,0.44155844155844154,0.7142857142857143,0.8701298701298701
morphology,lowest20_mean_fg,0.12989109684535813,0.8749716292545052,0.8616810739538712,0.8528356995072109,0.8299614919072448,0.4025974025974026,0.6753246753246753,0.7662337662337663
inconsistency,lowest20_mean_fg,0.14714275889093104,0.8534578888124809,0.8500516974839197,0.8462451552265633,0.8316361031478254,0.44155844155844154,0.6493506493506493,0.7142857142857143
combined,lowest20_mean_fg,0.12568228261735004,0.8809573914540373,0.8611911963905644,0.8493609964918711,0.8325303991182305,0.45454545454545453,0.6883116883116883,0.8051948051948052
combined_conf,lowest20_mean_fg,0.11177515808708151,0.8950238101135375,0.8789236424942728,0.8593857562455821,0.8359026870392836,0.4675324675324675,0.7922077922077922,0.935064935064935
pooled,lowest20_mean_fg,0.11523167778891402,0.8893069205145447,0.8719711795972012,0.8570252424435428,0.8355938687094305,0.44155844155844154,0.7402597402597403,0.8571428571428571
combined_pooled,lowest20_mean_fg,0.11478380213484872,0.8909180471621756,0.8721045362988753,0.8609978839319907,0.8360211464611442,0.45454545454545453,0.7922077922077922,0.8571428571428571
combined_conf_pooled,lowest20_mean_fg,0.12318710497405318,0.8870871717334673,0.876007601596855,0.8596221932296582,0.8326388253710872,0.4025974025974026,0.7792207792207793,0.8961038961038961
confidence,mean_fg_lt_0.80,0.11186668383393819,0.895596427912463,0.8763615522765049,0.857102256456806,0.8313211839321459,0.29508196721311475,0.5573770491803278,0.7704918032786885
morphology,mean_fg_lt_0.80,0.1268360576908186,0.8768937671463894,0.8619660999675546,0.8514398719893534,0.8306220299872508,0.28688524590163933,0.5327868852459017,0.6557377049180327
inconsistency,mean_fg_lt_0.80,0.1417073866312345,0.8639287767118919,0.8547308142698762,0.8449003554366327,0.8312677218812449,0.30327868852459017,0.47540983606557374,0.6229508196721312
combined,mean_fg_lt_0.80,0.1255356783501217,0.8796091600381105,0.8614656671302178,0.8487317701460819,0.8344793499734152,0.3114754098360656,0.5,0.6557377049180327
combined_conf,mean_fg_lt_0.80,0.10749189475466463,0.899193683212194,0.8799506887468849,0.8619127560614849,0.8340853536180359,0.30327868852459017,0.5819672131147541,0.7950819672131147
pooled,mean_fg_lt_0.80,0.11448195416769179,0.8911848083097733,0.8757741786912042,0.8558466312529565,0.8333319071450073,0.29508196721311475,0.5491803278688525,0.7377049180327869
combined_pooled,mean_fg_lt_0.80,0.11410565931238119,0.8923858068891144,0.8766055242577465,0.8596289131416119,0.8340361831238093,0.29508196721311475,0.5655737704918032,0.7459016393442623
combined_conf_pooled,mean_fg_lt_0.80,0.11346064379406888,0.8944578960111713,0.878625626964935,0.8610370055357441,0.8323447708709135,0.30327868852459017,0.5737704918032787,0.7704918032786885
confidence,mean_fg_lt_0.70,0.11473642892270604,0.8903967638442963,0.8741001104614131,0.8586314278793675,0.8341955075450089,0.4246575342465753,0.7123287671232876,0.8493150684931506
morphology,mean_fg_lt_0.70,0.13046678019182575,0.873797347658987,0.8626411567979624,0.8531066875815771,0.8299385214877546,0.3972602739726027,0.6986301369863014,0.7945205479452054
inconsistency,mean_fg_lt_0.70,0.1502237393527117,0.842654563564239,0.849536778229238,0.843192297206109,0.8294950196387809,0.4383561643835616,0.6164383561643836,0.7397260273972602
combined,mean_fg_lt_0.70,0.12396336626945141,0.8777497831880852,0.8631143901985211,0.8501824798093651,0.8328198171861169,0.4657534246575342,0.6986301369863014,0.8356164383561644
combined_conf,mean_fg_lt_0.70,0.10908248403402754,0.8964196896136302,0.8786466662971365,0.8588919105449745,0.8362811911328771,0.4657534246575342,0.8082191780821918,0.958904109589041
pooled,mean_fg_lt_0.70,0.11537247814571062,0.8883905146667032,0.8725602810851552,0.8566201585391874,0.8355882802096435,0.4657534246575342,0.7397260273972602,0.8904109589041096
combined_pooled,mean_fg_lt_0.70,0.12527284686920506,0.8841264724316716,0.8701683622714158,0.8553413615523504,0.8350970704945475,0.4657534246575342,0.726027397260274,0.863013698630137
combined_conf_pooled,mean_fg_lt_0.70,0.1245603422518688,0.8814916395112645,0.8734554362184656,0.8579488367180766,0.8299357495478212,0.410958904109589,0.7397260273972602,0.9041095890410958
